scenario,repeat,n_train,slope_comparator_train_error,volatility_comparator_train_error,ar_comparator_train_error,slope_comparator_test_error,volatility_comparator_test_error,ar_comparator_test_error,oracle_comparator,oracle_comparator_test_error,selector_comparator,selector_train_error,selector_test_error,selector_oracle_excess,common_head_train_error,common_head_test_error,common_head_generalization_gap,common_head_abs_generalization_gap,common_head_oracle_excess,common_head_train_auc,common_head_test_auc,ar_phi_alt,mixed_ar_phi,mixed_family_probability
slope,18,1000,0.026,0.034,0.389,0.02225,0.03075,0.3805,slope,0.02225,slope,0.026,0.02225,0.0,0.015,0.012,-0.0029999999999999,0.0029999999999999,-0.0102499999999999,0.996692,0.99769,1.1,1.1,0.3333333333333333
slope,19,200,0.02,0.03,0.39,0.027,0.02725,0.392,slope,0.027,slope,0.02,0.027,0.0,0.01,0.01125,0.0012499999999999,0.0012499999999999,-0.01575,0.9914,0.9978695,1.1,1.1,0.3333333333333333
slope,19,500,0.018,0.026,0.392,0.027,0.02725,0.392,slope,0.027,slope,0.018,0.027,0.0,0.006,0.01225,0.00625,0.00625,-0.01475,0.996528,0.9979685,1.1,1.1,0.3333333333333333
slope,19,1000,0.026,0.03,0.397,0.027,0.02725,0.392,slope,0.027,slope,0.026,0.027,0.0,0.014,0.01225,-0.0017499999999999,0.0017499999999999,-0.01475,0.997708,0.9979715,1.1,1.1,0.3333333333333333
slope,20,200,0.03,0.04,0.345,0.02175,0.02675,0.37875,slope,0.02175,slope,0.03,0.02175,0.0,0.0,0.018,0.018,0.018,-0.00375,1.0,0.997927125,1.1,1.1,0.3333333333333333
slope,20,500,0.026,0.032,0.368,0.02175,0.02675,0.37875,slope,0.02175,slope,0.026,0.02175,0.0,0.01,0.01375,0.00375,0.00375,-0.0079999999999999,0.999184,0.99811725,1.1,1.1,0.3333333333333333
slope,20,1000,0.028,0.028,0.369,0.02175,0.02675,0.37875,slope,0.02175,slope,0.028,0.02175,0.0,0.01,0.0125,0.0025,0.0025,-0.0092499999999999,0.999112,0.997929,1.1,1.1,0.3333333333333333
slope,21,200,0.03,0.03,0.345,0.025,0.02925,0.38175,slope,0.025,slope,0.03,0.025,0.0,0.015,0.01375,-0.0012499999999999,0.0012499999999999,-0.01125,0.9996,0.9983875,1.1,1.1,0.3333333333333333
slope,21,500,0.026,0.034,0.384,0.025,0.02925,0.38175,slope,0.025,slope,0.026,0.025,0.0,0.01,0.011,0.0009999999999999,0.0009999999999999,-0.014,0.999664,0.9957825,1.1,1.1,0.3333333333333333
slope,21,1000,0.031,0.03,0.401,0.025,0.02925,0.38175,slope,0.025,volatility,0.03,0.02925,0.00425,0.013,0.00975,-0.0032499999999999,0.0032499999999999,-0.01525,0.998428,0.99870725,1.1,1.1,0.3333333333333333
slope,22,200,0.02,0.01,0.375,0.02225,0.03175,0.37875,slope,0.02225,volatility,0.01,0.03175,0.0095,0.0,0.01625,0.01625,0.01625,-0.0059999999999999,1.0,0.995383875,1.1,1.1,0.3333333333333333
slope,22,500,0.024,0.024,0.38,0.02225,0.03175,0.37875,slope,0.02225,slope,0.024,0.02225,0.0,0.016,0.01225,-0.00375,0.00375,-0.0099999999999999,0.996624,0.99644825,1.1,1.1,0.3333333333333333
slope,22,1000,0.024,0.023,0.392,0.02225,0.03175,0.37875,slope,0.02225,volatility,0.023,0.03175,0.0095,0.012,0.012,0.0,0.0,-0.0102499999999999,0.998104,0.996406,1.1,1.1,0.3333333333333333
slope,23,200,0.045,0.02,0.4,0.02525,0.02625,0.378,slope,0.02525,volatility,0.02,0.02625,0.0009999999999999,0.0,0.0145,0.0145,0.0145,-0.01075,1.0,0.997635125,1.1,1.1,0.3333333333333333
slope,23,500,0.028,0.022,0.394,0.02525,0.02625,0.378,slope,0.02525,volatility,0.022,0.02625,0.0009999999999999,0.008,0.01225,0.00425,0.00425,-0.013,0.999344,0.9980695,1.1,1.1,0.3333333333333333
slope,23,1000,0.027,0.027,0.375,0.02525,0.02625,0.378,slope,0.02525,slope,0.027,0.02525,0.0,0.013,0.01075,-0.00225,0.00225,-0.0145,0.997512,0.9980065,1.1,1.1,0.3333333333333333
slope,24,200,0.025,0.025,0.385,0.02275,0.0275,0.3755,slope,0.02275,slope,0.025,0.02275,0.0,0.015,0.01775,0.0027499999999999,0.0027499999999999,-0.005,0.9959,0.99751225,1.1,1.1,0.3333333333333333
